anomalyID, srcIP, srcPort, dstIP, dstPort, taxonomy, heuristic, distance, nbDetectors, label
0,,,203.143.53.153,123,mptmp,-0.15406,6,suspicious
0,,,202.243.230.111,123,mptmp,-0.15406,6,suspicious
0,,,203.143.57.175,123,mptmp,-0.15406,6,suspicious
0,,,203.143.56.18,123,mptmp,-0.15406,6,suspicious
1,31.63.141.14,,,22,ptmp,-0.53383,5,suspicious
2,,22,116.30.139.246,,mptmp,-0.6826,4,suspicious
2,,5900,192.126.83.61,,mptmp,-0.6826,4,suspicious
3,202.250.244.51,,,,mptmp,-0.41561,5,suspicious
3,202.89.181.250,,,443,mptmp,-0.41561,5,suspicious
4,41.39.43.117,,,25,mptmp,-0.37948,6,suspicious
4,,,203.143.61.93,53,mptmp,-0.37948,6,suspicious
5,163.221.34.42,,,443,ntscACK,-0.4793,5,suspicious
5,163.221.34.42,,,80,ntscACK,-0.4793,5,suspicious
6,123.229.77.167,,,1433,ntscSYNt,-0.60644,5,suspicious
7,163.221.253.137,,104.188.136.116,,mptmp,-0.29545,5,suspicious
7,163.221.253.137,,,443,mptmp,-0.29545,5,suspicious
7,163.221.253.113,,104.188.136.249,,mptmp,-0.29545,5,suspicious
7,163.221.253.113,,104.188.136.116,,mptmp,-0.29545,5,suspicious
7,163.221.253.113,,,9418,mptmp,-0.29545,5,suspicious
7,163.221.253.113,,,443,mptmp,-0.29545,5,suspicious
7,,,104.188.136.116,443,mptmp,-0.29545,5,suspicious
7,163.221.253.137,,104.188.136.249,9418,mptmp,-0.29545,5,suspicious
8,103.101.8.197,,203.143.57.232,23,mptpla,-0.15406,6,suspicious
8,95.118.49.122,,203.143.57.232,23,mptpla,-0.15406,6,suspicious
9,221.51.100.56,50106,,22,ntscSYNt,-0.60644,5,suspicious
10,203.143.42.156,,,80,ntscACK,-0.4793,5,suspicious
10,203.143.42.156,,,443,ntscACK,-0.4793,5,suspicious
11,71.78.20.18,,203.143.51.137,80,mptplaHTTP,-0.03481,7,suspicious
11,52.55.207.199,,203.143.51.137,80,mptplaHTTP,-0.03481,7,suspicious
12,96.169.210.144,,163.221.79.150,80,alphflHTTP,-0.4793,5,suspicious
13,163.221.104.70,,,443,mptmp,-0.26086,6,suspicious
13,163.221.33.129,,,443,mptmp,-0.26086,6,suspicious
13,163.221.33.129,,,80,mptmp,-0.26086,6,suspicious
